created_at,text,source,name,username,location,verified,description
2022-06-07 23:28:16+00:00,When your nephew is bad as hell so you ask your dad to watch his grandson so you can go smoke outside cus #stressed LMFAO,Twitter for iPhone,Chef Vanalee,chefvanalee,"Jersey City, NJ",False,Vietnamese | 26🌹 | Private Chef👩🏻‍🍳
2022-06-07 23:25:13+00:00,"This woman turns me off from wanting to be in a relationship like, is this how woman really are? I want a woman that’s loving and caring and supportive and intelligent to fit the upper class but is this a suppose? #Stressed",Twitter for iPhone,Chef Vanalee,chefvanalee,"Jersey City, NJ",False,Vietnamese | 26🌹 | Private Chef👩🏻‍🍳
2022-06-07 23:18:19+00:00,Working on doing a dragon and have the TV in the background has @inkmaster going and they are Japanese day and all I can hear are the judges talking about belly scales and how it has to flow. Had to pay extra attention to them as that was said #stressed https://t.co/8HFkrunMKT,Twitter for iPhone,Chef Vanalee,chefvanalee,"Jersey City, NJ",False,Vietnamese | 26🌹 | Private Chef👩🏻‍🍳
2022-06-07 21:45:55+00:00,Some positive news today… we have the responses from consultation and the case is going to panel next week. Our first choice school is the only one that can meet need AND has a space for B… keeping everything crossed they will be named!! 🤞🏻🤞🏻🤞🏻#EHCP #SENparent #Autism #stressed,Twitter for iPhone,Chef Vanalee,chefvanalee,"Jersey City, NJ",False,Vietnamese | 26🌹 | Private Chef👩🏻‍🍳
2022-06-07 20:41:40+00:00,"*when a new pay period begins, you will begin to earn your money as you work for that pay period*
new pay period started, hours submitted, now being told i won’t have money till after my paycheck from last pay period ??? #stressed https://t.co/6U7W0sKIzu",Twitter for iPhone,Chef Vanalee,chefvanalee,"Jersey City, NJ",False,Vietnamese | 26🌹 | Private Chef👩🏻‍🍳
2022-06-07 19:40:02+00:00,"sketch of my dog. 
I need to clear my mind before certain important exam  
　
ε=ε=ε=ε=ε=ε=┌(;￣◇￣)┘
#Dog #digitalart #sketch #exam #stressed #procreate #drawingart #simplesketch https://t.co/jRcOGzw1Ro",Twitter for iPad,Chef Vanalee,chefvanalee,"Jersey City, NJ",False,Vietnamese | 26🌹 | Private Chef👩🏻‍🍳
2022-06-07 19:33:16+00:00,"It makes so much sense now! 
👍🏻🤣

#desserts #stressed https://t.co/xMAKcmQQA5",Twitter for Android,Chef Vanalee,chefvanalee,"Jersey City, NJ",False,Vietnamese | 26🌹 | Private Chef👩🏻‍🍳
2022-06-07 19:11:01+00:00,"Yall, I am back from TN and home in WV.......been a long &amp; eventful week for sure. Little one's kinder-grad party at the lake was a blast, but I always hate the anxiety of driving 3 hours back &amp; unpacking everything. #anxiety #cartrip #driving #gasprices #stressed",Twitter Web App,Chef Vanalee,chefvanalee,"Jersey City, NJ",False,Vietnamese | 26🌹 | Private Chef👩🏻‍🍳
2022-06-07 18:08:13+00:00,"Really stressed over my results
Feels like I can't take anymore! TT
I really wanna go home and cry 
I miss my mom and dad so much!
Really need some warmness rn
#Stressed #TT",Twitter for Android,Chef Vanalee,chefvanalee,"Jersey City, NJ",False,Vietnamese | 26🌹 | Private Chef👩🏻‍🍳
2022-06-07 16:25:59+00:00,Just running around the house like some kind of cracked up over exhausted pigeon on the verge of breakdown. #momlife #ineedavacation #toddlerlife #Stressed,Twitter for iPhone,Chef Vanalee,chefvanalee,"Jersey City, NJ",False,Vietnamese | 26🌹 | Private Chef👩🏻‍🍳
